EVT  20080513, 024938.305134,    5.815,   -0.134,     9.94,    29.77,    25.28,    0.000,     0.00,     2.24
EVT  20080515, 220847.389416,   -8.170,  -10.701,    26.44,    34.77,   196.03,    0.000,     0.00,     8.37
EVT  20080516, 072118.663328,    5.952,   -3.173,    12.28,    33.88,   157.38,    0.000,     0.00,     3.22
EVT  20080517, 222054.791870,   -8.186,    1.217,    15.85,    34.09,   349.71,    0.000,     0.00,     4.77
EVT  20080517, 105922.337672,    5.995,   10.119,    18.06,    33.92,    45.46,    0.000,     0.00,     5.34
EVT  20080512, 015056.466292,  -11.962,   -1.427,    25.96,    39.96,   281.52,    0.000,     0.00,     9.39
EVT  20080514, 223837.507021,    4.104,    7.856,    19.18,    30.54,   151.51,    0.000,     0.00,     5.38
EVT  20080515, 005917.311574,   -1.350,  -16.207,     8.52,    42.76,   304.85,    0.000,     0.00,     3.00
EVT  20080517, 152406.595092,   -4.033,   -1.922,     5.13,    43.14,   192.06,    0.000,     0.00,     1.71
EVT  20080512, 111216.878528,   -9.559,   -0.160,    17.13,    38.12,   259.33,    0.000,     0.00,     5.96
EVT  20080513, 071321.059207,   -6.674,  -14.680,    18.07,    18.19,   295.69,    0.000,     0.00,     4.26
EVT  20080517, 051016.364885,   -2.609,   -8.750,    16.62,    28.56,    13.14,    0.000,     0.00,     4.38
EVT  20080513, 144725.528997,   10.627,   -3.334,    18.61,    26.18,    23.42,    0.000,     0.00,     4.87
EVT  20080516, 155126.535255,   -4.551,   -7.171,    27.18,    17.04,    89.81,    0.000,     0.00,     7.31
EVT  20080517, 133657.637204,  -11.993,   -7.227,     9.83,    27.45,     9.72,    0.000,     0.00,     2.16
EVT  20080512, 191924.192678,   -6.184,   -9.961,    17.60,    36.69,   182.32,    0.000,     0.00,     5.67
EVT  20080515, 095617.783219,   -3.875,  -10.785,    16.23,    35.90,   238.02,    0.000,     0.00,     5.15
EVT  20080516, 202944.443668,    3.335,   -7.591,     9.13,    40.48,    21.00,    0.000,     0.00,     2.90
EVT  20080517, 123414.277453,    7.532,   -9.398,     4.42,    40.79,   140.60,    0.000,     0.00,     1.32
EVT  20080511, 084823.254683,    7.579,    1.871,    14.87,    26.50,   137.03,    0.000,     0.00,     3.58
EVT  20080514, 072626.145518,    4.576,  -12.626,    13.70,    29.12,   356.52,    0.000,     0.00,     3.37
EVT  20080515, 073222.382324,    4.656,   10.206,    11.55,    28.93,   184.49,    0.000,     0.00,     2.66
EVT  20080517, 231440.509616,   -9.155,  -12.519,     9.75,    28.28,   317.95,    0.000,     0.00,     2.14
EVT  20080511, 090315.567465,    9.960,   -2.126,    12.48,    36.51,   248.28,    0.000,     0.00,     3.65
EVT  20080512, 235301.143660,    0.785,    7.057,    11.07,    41.25,     5.12,    0.000,     0.00,     3.91
EVT  20080514, 142709.405616,    8.218,   10.153,    10.05,    25.86,   176.04,    0.000,     0.00,     2.17
EVT  20080516, 165033.115778,   -0.951,    8.537,     8.92,    38.66,   237.01,    0.000,     0.00,     2.53
EVT  20080511, 215855.412446,   -6.146,   -4.847,     5.12,    44.94,     6.05,    0.000,     0.00,     1.93
EVT  20080512, 135525.246984,   -8.786,   -6.538,    13.14,    41.74,   275.20,    0.000,     0.00,     4.84
EVT  20080511, 192935.843124,   -7.459,  -16.359,     8.91,    28.59,   325.56,    0.000,     0.00,     1.92
EVT  20080514, 120712.603772,    6.885,  -15.319,     6.80,    42.04,   182.89,    0.000,     0.00,     2.15
EVT  20080512, 180839.329453,  -11.957,   -6.641,     7.65,    38.07,   307.12,    0.000,     0.00,     2.09
EVT  20080513, 023813.263138,   -6.969,   -4.124,     6.89,    40.74,   247.54,    0.000,     0.00,     2.06
EVT  20080513, 094752.160134,   -8.814,   -7.234,     7.02,    41.40,    70.86,    0.000,     0.00,     2.23
EVT  20080516, 073154.931184,    6.717,    0.794,    44.62,    27.97,   230.17,    0.000,     0.00,    13.30
EVT  20080517, 223037.345891,    0.021,    5.662,    17.74,    21.43,   218.67,    0.000,     0.00,     4.31
EVT  20080517, 062742.723582,    4.407,  -13.872,     9.13,    30.63,    39.46,    0.000,     0.00,     2.03
EVT  20080511, 132020.302536,   -7.158,   -9.900,    10.25,    27.41,   117.99,    0.000,     0.00,     2.28
EVT  20080513, 061221.573864,   -8.222,    0.197,    31.50,    24.22,   326.15,    0.000,     0.00,     8.70
EVT  20080514, 170054.915737,  -11.439,  -11.731,    36.48,    10.72,    34.57,    0.000,     0.00,    10.02
EVT  20080515, 204318.819511,   12.191,   -7.555,    42.91,    11.96,   280.32,    0.000,     0.00,    11.94
EVT  20080516, 090850.524242,   -8.879,   -0.769,    10.61,    36.50,   207.58,    0.000,     0.00,     2.92
